Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
1960,1,1,00:00,UTC,-1,29,-1.5,0.1,-7.6
1960,1,2,00:00,UTC,-1,28,0.3,1.3,-0.5
1960,1,3,00:00,UTC,0.1,29,0,1.1,-0.6
1960,1,4,00:00,UTC,0,29,-0.2,0.1,-1
1960,1,5,00:00,UTC,17.6,29,0.4,1.9,-0.5
1960,1,6,00:00,UTC,8.7,47,-0.1,0.6,-0.6
1960,1,7,00:00,UTC,0.3,48,-6.2,0,-10.5
1960,1,8,00:00,UTC,0.8,48,-11.8,-10.3,-13.7
1960,1,9,00:00,UTC,-1,47,-13.1,-11,-13.6
1960,1,10,00:00,UTC,0.2,47,-14.1,-10.9,-17.9
1960,1,11,00:00,UTC,1.1,48,-15,-13.7,-16.6
1960,1,12,00:00,UTC,0.2,48,-14.6,-13.6,-17.8
1960,1,13,00:00,UTC,0.1,48,-14.9,-12.6,-15.4
1960,1,14,00:00,UTC,0,48,-18.4,-14.8,-19.3
1960,1,15,00:00,UTC,0.4,48,-16,-8.6,-23.3
1960,1,16,00:00,UTC,0,48,-11.1,-6.7,-13.6
1960,1,17,00:00,UTC,3.3,46,-9.6,-8.4,-13.3
1960,1,18,00:00,UTC,6,50,-7.1,-3.3,-9.1
1960,1,19,00:00,UTC,9.7,57,-4.8,-1.8,-8
1960,1,20,00:00,UTC,0.6,61,-5.8,-3.8,-8.2
1960,1,21,00:00,UTC,-1,62,-8.2,-4.8,-7.6
1960,1,22,00:00,UTC,0.4,62,-9.1,-6.2,-16.2
1960,1,23,00:00,UTC,6.7,55,-2.5,0.4,-6.9
1960,1,24,00:00,UTC,1.3,55,1,1.7,0
1960,1,25,00:00,UTC,0.1,49,0.1,1.3,-1.3
1960,1,26,00:00,UTC,0.1,48,0.2,1.4,-0.8
1960,1,27,00:00,UTC,2,48,-3.8,1.3,-5
1960,1,28,00:00,UTC,1.2,50,-11.9,-5,-14.6
1960,1,29,00:00,UTC,0,50,-16.1,-14.5,-16.4
1960,1,30,00:00,UTC,-1,49,-18.2,-15.4,-19.1
1960,1,31,00:00,UTC,0,50,-17.6,-14.1,-21.6
1960,2,1,00:00,UTC,0.1,48,-9.6,-8,-16.8
1960,2,2,00:00,UTC,0.1,49,-12.3,-8.8,-12.6
1960,2,3,00:00,UTC,0.3,48,-13.2,-11.2,-18.3
1960,2,4,00:00,UTC,0,49,-10.3,-8.5,-14.6
1960,2,5,00:00,UTC,0,49,-8.1,-7.2,-10.2
1960,2,6,00:00,UTC,-1,48,-4.6,-1.9,-8
1960,2,7,00:00,UTC,-1,48,-1.3,2.1,-3.6
1960,2,8,00:00,UTC,2.6,48,-1.2,0.9,-4.6
1960,2,9,00:00,UTC,0,49,0.6,4.2,-2.6
1960,2,10,00:00,UTC,2,48,-3.3,0.6,-3.6
1960,2,11,00:00,UTC,-1,49,-10.6,-3.4,-12.3
1960,2,12,00:00,UTC,-1,49,-14.9,-11.6,-17.6
1960,2,13,00:00,UTC,2.3,49,-14.2,-12.1,-19.1
